,Ananthapur,Chittoor,East Godavari,Guntur,Kadapa,Krishna,Kurnool,Nellore,Prakasam,Srikakulam,Vishakapatnam,Vizianagaram,West Godavari,Total
2020-04-29,37,61,28,216,41,196,291,53,37,5,4,0,45,1014
2020-04-28,36,58,27,207,37,186,280,56,33,4,3,0,43,970
2020-04-27,35,57,27,200,30,173,252,54,33,4,3,0,43,911
2020-04-26,35,60,27,177,30,140,239,47,33,3,3,0,41,835
2020-04-23,32,62,24,164,23,56,223,60*,48*,0,3,0,30,725
2020-04-22,26,55,18,146,28,64,194,60*,46*,0,2,0,30,669
2020-04-21,31,49,18,137,27,63,175,64*,42*,0,3,0,30,639
2020-04-20,28,49,18,130,21,60,168,65*,42*,0,3,0,26,610
2020-04-19,25,24,16,125,18,66,153,65,42,0,5,0,26,565
2020-04-18,22,27,13,121,24,61,128,64,43,0,7,0,35,545
2020-04-17,22,27,14,122,24,44,124,61,41,0,10,0,34,523
2020-04-16,19,22,14,118,36,40,111,55,41,0,10,0,34,500
2020-04-15,19,22,14,118,36,37,108,55,41,0,10,0,31,491
2020-04-14,18,22,14,112,33,37,90,54,41,0,14,0,23,458
