,0,1,2,3,4,5,6,7,8,9,10,11,12,13
District,Ananthapur,Chittoor,East Godavari,Guntur,Kadapa,Krishna,Kurnool,Nellore,Prakasam,Srikakulam,Vishakapatnam,Vizianagaram,West Godavari,Total
2020-04-29,17,16,12,59,28,32,43,27,23,0,19,0,11,287
2020-04-28,14,16,12,39,28,29,43,24,23,0,19,0,11,258
2020-04-27,14,16,12,29,28,29,31,23,23,0,19,0,11,235
2020-04-26,14,13,12,29,28,29,31,23,23,0,19,0,10,231
2020-04-23,7,11,8,23,28,25,4,6,1,0,19,0,9,141
2020-04-22,7,4,8,23,23,16,4,6,1,0,19,0,9,120
2020-04-21,2,4,8,15,19,14,4,2,1,0,18,0,9,96
2020-04-20,2,4,8,15,19,14,1,1,1,0,18,0,9,92
2020-04-19,2,4,8,0,19,4,1,1,1,0,16,0,9,65
2020-04-18,2,1,6,0,13,4,1,1,1,0,13,0,0,42
2020-04-17,2,1,3,0,13,4,0,1,1,0,10,0,0,35
2020-04-16,0,1,3,0,0,4,0,1,1,0,10,0,0,20
2020-04-15,0,1,3,0,0,4,0,1,1,0,10,0,0,20
2020-04-14,0,1,3,0,0,4,0,1,1,0,6,0,0,16
